Layer,Step 0 point,Hits
Y,1,LEF-2-8, LEF-2-9
Y,2,LEF-2-7, LEF-2-8
Y,3,LEF-2-6, LEF-2-7
Y,4,LEF-2-5, LEF-2-6
Y,5,LEF-2-4, LEF-2-5
Y,6,LEF-2-3, LEF-2-4
Y,7,LEF-2-2, LEF-2-3
Y,8,LEF-2-1, LEF-2-2
Y,9,LEF-2-1, LEF-4-1
Y,10,LEF-4-1, LEF-4-2
Y,11,LEF-4-2, LEF-4-3
Y,12,LEF-4-3, LEF-4-4
Y,13,LEF-4-4, LEF-4-5
Y,14,LEF-4-5, LEF-4-6
Y,15,LEF-4-6, LEF-4-7
Y,16,LEF-4-7, LEF-4-8
Y,17,LEF-4-8, LEF-4-9
Y,18,LEF-6-8, LEF-6-9
Y,19,LEF-6-7, LEF-6-8
Y,20,LEF-6-6, LEF-6-7
Y,21,LEF-6-5, LEF-6-6
Y,22,LEF-6-4, LEF-6-5
Y,23,LEF-6-3, LEF-6-4
Y,24,LEF-6-2, LEF-6-3
Y,25,LEF-6-1, LEF-6-2
Y,26,LEF-6-1, LEF-8-1
Y,27,LEF-8-1, LEF-8-2
Y,28,LEF-8-2, LEF-8-3
Y,29,LEF-8-3, LEF-8-4
Y,30,LEF-8-4, LEF-8-5
Y,31,LEF-8-5, LEF-8-6
Y,32,LEF-8-6, LEF-8-7
Y,33,LEF-8-7, LEF-8-8
Y,34,LEF-8-8, LEF-8-9
